observations,TravelTime,startNodeID,endNodeID,interval
1,564,17088,10436,2010-03-08 23:00:00
1,474,17848,12158,2010-03-08 10:15:00
6,363,13095,16748,2010-04-08 10:40:00
1,362,10058,16278,2010-04-08 20:05:00
1,397,20270,14607,2010-04-08 07:35:00
2,276,14386,10675,2010-03-08 20:00:00
2,687,21238,12648,2010-03-08 08:30:00
1,911,15220,20454,2010-05-08 19:55:00
2,643,10558,16748,2010-03-08 21:40:00
1,1451,1380032143,16342,2010-05-08 21:35:00
1,180,1380035612,14916,2010-05-08 20:20:00
2,541,15170,16120,2010-03-08 16:35:00
2,554,13128,17671,2010-05-08 03:10:00
1,180,17818,20235,2010-02-08 12:15:00
2,808,13754,18848,2010-05-08 06:45:00
1,722,17776,12918,2010-03-08 19:30:00
2,1047,22015,16617,2010-05-08 02:20:00
2,1144,12601,21589,2010-04-08 07:15:00
4,1358,20088,16912,2010-05-08 09:05:00
1,465,15292,14044,2010-03-08 17:05:00
10,782,1380009311,11516,2010-02-08 00:50:00
3,1697,21238,10594,2010-04-08 20:20:00
1,727,20481,16331,2010-05-08 01:15:00
1,1074,1380009311,1380009311,2010-02-08 18:35:00
3,1606,13302,11821,2010-04-08 09:15:00
4,736,21238,21238,2010-02-08 09:50:00
1,548,16617,14829,2010-02-08 22:30:00
1,269,1380003891,10852,2010-05-08 23:10:00
1,843,19348,10842,2010-04-08 08:50:00
16,988,1380009311,17201,2010-05-08 21:55:00
2,726,16844,13854,2010-04-08 19:20:00
1,1897,17461,19136,2010-05-08 16:30:00
4,725,13926,15489,2010-04-08 15:05:00
1,1158,14604,20500,2010-03-08 21:30:00
1,948,10558,16748,2010-05-08 07:55:00
1,1186,21162,21223,2010-03-08 06:45:00
10,1305,1380009311,17775,2010-05-08 22:55:00
1,366,14215,14039,2010-02-08 21:15:00
2,370,10058,16278,2010-03-08 15:15:00
1,905,20481,20273,2010-03-08 19:15:00
1,893,11821,13342,2010-02-08 05:20:00
2,552,13687,16767,2010-02-08 12:35:00
3,183,20273,13095,2010-03-08 18:30:00
1,360,20236,18184,2010-04-08 20:05:00
1,727,1380029334,1380029334,2010-04-08 13:25:00
1,542,20067,10591,2010-02-08 14:30:00
2,2059,21217,15581,2010-04-08 13:05:00
1,379,20273,15352,2010-02-08 12:25:00
2,362,13128,10162,2010-05-08 15:55:00
3,800,21242,18818,2010-03-08 07:30:00
1,181,17679,11591,2010-03-08 14:10:00
1,1179,21977,12893,2010-02-08 00:00:00
1,545,17702,11309,2010-03-08 15:00:00
1,915,10058,16421,2010-02-08 19:15:00
8,721,14443,13589,2010-05-08 11:10:00
2,559,1380034174,15176,2010-05-08 10:00:00
1,893,14932,11251,2010-04-08 22:55:00
4,714,21238,12884,2010-02-08 08:55:00
1,1088,10026,1380009263,2010-03-08 10:45:00
1,1556,19253,11309,2010-04-08 14:45:00
1,185,10618,15152,2010-05-08 14:05:00
1,795,12944,12041,2010-02-08 09:40:00
1,605,21917,10717,2010-03-08 12:20:00
2,543,20270,12432,2010-02-08 02:30:00
1,1290,20273,19926,2010-03-08 15:30:00
2,959,13241,14348,2010-05-08 18:00:00
100,1807,12728,12728,2010-04-08 18:25:00
1,480,19695,11863,2010-03-08 10:15:00
1,1091,21217,11135,2010-04-08 15:35:00
